recipe_id,amount,unit,name,ingredient_id
164854,1,packages,pepperoni,
164917,1.5,cups,mozzarella cheese,
164917,1,jars,pizza sauce,
164917,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
164917,1,packages,pepperoni,
164974,1.5,cups,mozzarella cheese,
164974,1,jars,pizza sauce,
164974,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
164974,1,packages,pepperoni,
165168,1.5,cups,mozzarella cheese,
165168,1,jars,pizza sauce,
165168,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
165168,1,packages,pepperoni,
165637,1.5,cups,mozzarella cheese,
165637,1,jars,pizza sauce,
165637,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
165637,1,packages,pepperoni,
165843,2,tablespoons,olive oil,
165843,1,pounds,beef chuck,
165843,0,,salt pepper to taste,
165843,2,stalks,celery,
165843,2,,carrots,
165843,1,,onion,
165843,6,,cloves garlic,
165843,1.5,teaspoons,cilantro,
165843,1,teaspoons,oregano,
165843,2,,cartons chicken broth,
165843,1,cans,tomatoes,
165843,2,cups,lentils,
165843,0.25,cups,parsley,
165843,0.5,cups,Parmesan cheese or to taste,
165947,2,packages,favorite flavor Jell-O®,
165947,1.25,cups,water,
165947,3,cups,watermelon cubes or balls,
165947,3,cups,strawberries,
165947,2,cups,cantaloupe cubes or balls,
165947,2,cups,blueberries,
166209,1.5,cups,mozzarella cheese,
166209,1,jars,pizza sauce,
166209,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
166209,1,packages,pepperoni,
166903,1.5,cups,mozzarella cheese,
166903,1,jars,pizza sauce,
166903,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
166903,1,packages,pepperoni,
167042,2,legs,chicken quarters,
167042,1,cups,brown rice,
167042,1,pounds,beef,
167042,0.666666667,cups,oats,
167042,1,packages,spinach,
167042,2,cups,broccoli,
167042,1,cans,kidney beans,
167042,2,,carrots,
167042,1,cups,cottage cheese,
167042,0.5,cups,olive oil,
167177,1.5,cups,mozzarella cheese,
167177,1,jars,pizza sauce,
167177,1,packages,Johnsonville® Three Cheese Italian Style Chicken Sausage,
167177,1,packages,pepperoni,
